sut,komoditas,provinsi,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
,,,,,,,,,,,factor labor,input,tenaga kerja unskilled,main road maintenance ,Rp/m,174000,174000,hok,0,0,0,0,125,125,125,125,250,250,125,125,250,250,125,125,250,250,125,125,250,250,125,125,250,250,125,125,250,250
,,,,,,,,,,,factor labor,input,tenaga kerja unskilled,Collector road maintainance,Rp/m,181500,181500,hok,0,0,0,312.5,625,937.5,1250,1562.5,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875
,,,,,,,,,,,working capital privat,input,working capital privat,working capital,,1,1,,0,0,0,549519230.8,205961538.5,214615384.6,223269230.8,47596153.85,50192307.69,42403846.15,25961538.46,17307692.31,8653846.154,4326923.077,1730769.231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,working capital sosial,input,working capital sosial,working capital,,1,1,,0,0,0,549519230.8,205961538.5,214615384.6,223269230.8,47596153.85,50192307.69,42403846.15,25961538.46,17307692.31,8653846.154,4326923.077,1730769.231,0,0,0,0,0,0,0,0,0,-1391538462,-1391538462,0,0,0,0
,,,,,,,,,,,factor capital,input,modal kapital,Building,Rp,5650000000,5650000000,%,0.981415929,0.011504425,0.007079646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,factor capital,input,modal kapital,Proposal,Rp/ha,3500,3500,ha,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,factor capital,input,modal kapital,FS,Rp/ha,6600,6600,ha,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,factor capital,input,modal kapital,AMDAL,Rp/ha,35000,35000,ha,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,factor capital,input,modal kapital,Mapping,Rp/ha,40000,40000,ha,500,500,500,500,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,factor capital,input,modal kapital,Land sertification,Rp/ha,300000,300000,ha,500,500,500,500,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,factor capital,input,modal kapital,Main road,Rp/m,15500,15500,m,5000,5000,5000,5000,5000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,factor capital,input,modal kapital,Collector road,Rp/m,13700,13700,m,12500,12500,12500,12500,12500,12500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,factor capital,input,modal kapital,Lands & buildings (PBB),Rp/thn/ha,314343.8681,0,ha,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
,,,,,,,,,,,factor capital,input,modal kapital,Vehicle,Rp/thn,30000000,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,factor capital,input,modal kapital,Income taxes,Rp/thn,83383500,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,output,output,utama,FFB,Rp/kg,1550,1438.144013,kg,0,653269.3716,1685049.845,6335967.262,10821703.51,19247379.07,27755287.07,35743352.65,43841904.39,47929157.5,52789779.85,54809563.13,58369779.58,61927937.49,63868239.29,63115967.09,62507779.03,60800490.72,57470536.8,54009214.47,51364256.03,51886265.69,51789430.11,51051259.58,50313089.05,49574918.51,49149242.95,48641334.95,48000000,48000000
