no,sut,nama_komoditas,prov,wilayah,tahun_analisis,tipe_lahan,lokasi,tipe_landuse,sampingan,siklus tanam
129,AGROFORESTRI,LOGGING AF,SUMATERA SELATAN,MUSI RAWAS,2014,MINERAL,MUSI RAWAS,KEBUN,,
130,MONOKULTUR,JAGUNG,SUMATERA SELATAN,MUSI RAWAS,2014,MINERAL,MUSI RAWAS,KEBUN,,
131,MONOKULTUR,KARET,SUMATERA SELATAN,MUSI RAWAS,2014,MINERAL,MUSI RAWAS,KEBUN,PADI,
132,MONOKULTUR,KELAPA SAWIT LARGE SCALE,SUMATERA SELATAN,MUSI RAWAS,2014,MINERAL,MUSI RAWAS,KEBUN,,
133,MONOKULTUR,KELAPA SAWIT,SUMATERA SELATAN,MUSI RAWAS,2014,GAMBUT,MUSI RAWAS,KEBUN,,
134,MONOKULTUR,KELAPA,SUMATERA SELATAN,MUSI RAWAS,2014,GAMBUT,MUSI RAWAS,KEBUN,,
135,MONOKULTUR,PADI,SUMATERA SELATAN,MUSI RAWAS,2014,GAMBUT,MUSI RAWAS,SAWAH,,
136,AGROFORESTRI,COKLAT AF,KALIMANTAN TIMUR,BERAU,2015,MINERAL,BERAU,KEBUN,,
137,AGROFORESTRI,JATI AF,KALIMANTAN TIMUR,BERAU,2015,MINERAL,BERAU,KEBUN,,
138,AGROFORESTRI,KARET AF,KALIMANTAN TIMUR,BERAU,2015,MINERAL,BERAU,KEBUN,,
139,AGROFORESTRI,KEBUN CAMPUR AF,KALIMANTAN TIMUR,BERAU,2015,MINERAL,BERAU,KEBUN,,
140,AGROFORESTRI,KELAPA AF,KALIMANTAN TIMUR,BERAU,2015,MINERAL,BERAU,KEBUN,,
141,MONOKULTUR,JAGUNG,KALIMANTAN TIMUR,BERAU,2015,MINERAL,BERAU,KEBUN,,
142,MONOKULTUR,KARET,KALIMANTAN TIMUR,BERAU,2015,MINERAL,BERAU,KEBUN,,
143,MONOKULTUR,KELAPA SAWIT,KALIMANTAN TIMUR,BERAU,2015,MINERAL,BERAU,KEBUN,,
144,MONOKULTUR,KELAPA ,KALIMANTAN TIMUR,BERAU,2015,MINERAL,BERAU,KEBUN,,
145,MONOKULTUR,LADA,KALIMANTAN TIMUR,BERAU,2015,MINERAL,BERAU,KEBUN,,
146,MONOKULTUR,PADI,KALIMANTAN TIMUR,BERAU,2015,MINERAL,BERAU,SAWAH,,
147,MONOKULTUR,SENGON,KALIMANTAN TIMUR,BERAU,2015,MINERAL,BERAU,KEBUN,,
148,AGROFORESTRI,COKLAT AF,KALIMANTAN TIMUR,KUTAI TIMUR,2015,MINERAL,KUTAI TIMUR,KEBUN,UBAH NAMA,
